n,tau,k_intensity,k_rate,tau_grid,ke_tau_prod_grid,sr_tau_prod_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
26,0.071,329.63380281690144,35420.67605633803,0.071,23.404,2514.868,1.9928543914385857,0.22732417839257238,4.7775921455245385,1.8918694187334217,2.3448336266346383,8.129076777302657,29,29
27,0.071,329.63380281690144,50092.394366197186,0.071,23.404,3556.56,1.983879161678225,0.22661601892529448,4.773560122642329,1.905385562467164,2.477529049067147,8.658453499984185,29,29
28,0.071,329.63380281690144,70841.33802816902,0.071,23.404,5029.735,1.9730266566235495,0.2246932910312934,4.768388524313695,1.9153707926807433,2.661575520057745,9.428620071156097,29,29
29,0.071,329.63380281690144,100184.78873239437,0.071,23.404,7113.12,1.9607617593962507,0.22249428172826163,4.762006577523751,1.9229865583059307,2.82455045058161,10.166627570543785,29,29
30,0.1,135.12,17782.8,0.1,13.512,1778.28,1.785510452535055,0.24270446697901663,9.625855239241165,1.8627499973223332,6.133219706496767,11.182747665856416,29,29
31,0.1,135.12,25148.679999999997,0.1,13.512,2514.868,1.7821856465218537,0.2413180180287392,9.605969650384171,1.8577658378277082,2.827543514190105,11.102683746915755,29,28
32,0.1,135.12,35565.6,0.1,13.512,3556.56,1.7786123238156,0.23940364642113485,9.602903616292496,1.8559980574082404,2.815481822103017,11.046806139543035,29,28
33,0.1,135.12,50297.34999999999,0.1,13.512,5029.735,1.7766619688747005,0.23749944656896355,9.599877063415653,1.856115904116392,2.8182309080623043,11.062681140469339,29,28
34,0.1,135.12,71131.2,0.1,13.512,7113.12,1.775756949350796,0.23617324253012445,9.597782876321855,1.8564861495925755,2.8093406692742247,11.017798339852694,29,28
35,0.1,177.83,17782.8,0.1,17.783,1778.28,1.1488090340833843,0.17766736402625277,6.486463611245857,1.8787733550316341,2.5579950618165213,9.666849706352346,29,29
36,0.1,177.83,25148.679999999997,0.1,17.783,2514.868,1.1593749287630128,0.1786355875319751,6.437805259543659,1.9056309051451017,2.5540983274197626,9.638522806417857,29,29
37,0.1,177.83,35565.6,0.1,17.783,3556.56,1.1655504910595085,0.18012178305652748,6.440536915313226,1.9013558302927127,2.5398492768462364,9.588747560712456,29,29
38,0.1,177.83,50297.34999999999,0.1,17.783,5029.735,1.176562133542559,0.18140232624778993,6.4428453338451295,1.8990268048347112,2.5340100445329323,9.582297908866217,29,29
39,0.1,177.83,71131.2,0.1,17.783,7113.12,1.1851096840106554,0.18232660938412593,6.444508747117261,1.897032715333613,2.5296225530050864,9.581280089578616,29,29
40,0.1,234.04,17782.8,0.1,23.404,1778.28,1.757663534308157,0.22105203571912008,4.69858458004068,1.4122847774639173,1.8677310041580015,6.680202109700769,29,29
41,0.1,234.04,25148.679999999997,0.1,23.404,2514.868,1.8076132830499225,0.22938829157319565,4.622434386220128,1.4054794419783423,1.8246692025371734,6.568599124087767,29,29
42,0.1,234.04,35565.6,0.1,23.404,3556.56,1.8516192186707603,0.2380926036483836,4.637740810304264,1.3858668390283744,1.8056987975853735,6.6365895286023955,29,29
43,0.1,234.04,50297.34999999999,0.1,23.404,5029.735,1.8898748076884702,0.24670463854262295,4.658843135957845,1.3769585691238055,1.8175822703156357,6.879587196239876,29,29
44,0.1,234.04,71131.2,0.1,23.404,7113.12,1.9178268681296573,0.2527767386792647,4.672706650161377,1.3739960231825437,1.8428472499195305,7.186393104013931,29,29
