n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,kb_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,kb_kf_intensity_ratio_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
40,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,0.0,37.2206,0.0143,231.1044,0.7263,0.1658,0.0,1.2520858447291485,0.16539324014227633,6.437544440444113,0.27147352567013533,1.2252160235773266,4.749945989214638,29,29
41,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,0.1544497756332931,37.2206,0.0143,231.1044,0.7263,0.1658,0.000688,1.257438028503954,0.1661290554700383,6.4390387559562585,0.27200374273317773,1.2261656448116978,4.759855684678802,29,29
42,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,0.30867506031363084,37.2206,0.0143,231.1044,0.7263,0.1658,0.001375,1.2646494746941026,0.1667713977898852,6.434941029049749,0.27248701667984104,1.2316298446739076,4.78838704667972,29,29
43,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,0.4624513630880579,37.2206,0.0143,231.1044,0.7263,0.1658,0.00206,1.2725021720101768,0.16770304994914942,6.442784141978388,0.27169633956256006,1.2326503362911834,4.79648548254864,29,29
44,231.1044,0.7263,0.1658,0.01968883381522787,224.4909529553679,0.6173501206272617,37.2206,0.0143,231.1044,0.7263,0.1658,0.00275,1.27623762337065,0.16811185852065655,6.451048581214166,0.2723429101500075,1.2343959483340883,4.8106195064809905,29,29
45,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,0.0,37.2206,0.0143,231.1044,0.7263,0.1808,0.0,1.175044052683158,0.1616807346848514,6.4434298402668775,0.2673184406892607,1.1852557270662498,4.54153900434701,29,29
46,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,0.14163591150442478,37.2206,0.0143,231.1044,0.7263,0.1808,0.000688,1.18256553845024,0.16209596563170492,6.450297464395816,0.26690821674249327,1.1880527087062203,4.555986204837447,29,29
47,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,0.2830659568584071,37.2206,0.0143,231.1044,0.7263,0.1808,0.001375,1.1860080824670902,0.16226494756946472,6.4417433877743395,0.26896837313191413,1.194317423521896,4.586515885775045,29,29
48,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,0.42408426991150444,37.2206,0.0143,231.1044,0.7263,0.1808,0.00206,1.1898690432904635,0.16281424870813602,6.448837953494441,0.2691985490320326,1.1950705463177715,4.593936427153061,29,29
49,231.1044,0.7263,0.1808,0.01968883381522787,205.86615044247787,0.5661319137168142,37.2206,0.0143,231.1044,0.7263,0.1808,0.00275,1.199596148366042,0.164045643544022,6.465671717938563,0.27047384363076504,1.200578238852434,4.623915957687818,29,29
50,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,0.0,37.2206,0.0143,231.1044,0.792,0.1278,0.0,1.4969538864459395,0.17815071780055725,6.15155377160462,0.26933340320831717,1.301802349932022,5.239657924690685,29,29
51,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,0.2003738090766823,37.2206,0.0143,231.1044,0.792,0.1278,0.000688,1.5023319760063798,0.1787868761234305,6.154348586448455,0.26926638317027746,1.3052657616132135,5.257128525803108,29,29
52,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,0.40045637715179966,37.2206,0.0143,231.1044,0.792,0.1278,0.001375,1.5181232001982496,0.17989844179769157,6.14908107392501,0.2699502858349268,1.311795584218901,5.2910686945637355,29,29
53,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,0.5999564632237872,37.2206,0.0143,231.1044,0.792,0.1278,0.00206,1.527479870532449,0.1805093727938957,6.148892731201378,0.2705554881402167,1.3158874325150955,5.310530449245825,29,29
54,231.1044,0.792,0.1278,0.018055555555555554,291.24100156494524,0.8009127543035993,37.2206,0.0143,231.1044,0.792,0.1278,0.00275,1.5377215078581996,0.18267648242851334,6.190914260266346,0.27027159555728253,1.319466621445285,5.333517261574291,29,29
55,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,0.0,37.2206,0.0143,231.1044,0.792,0.1394,0.0,1.4129446189386101,0.17366268138672297,6.255447564934014,0.2684589566401621,1.2772528583701137,5.075714350285787,29,29
56,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,0.18369994835007172,37.2206,0.0143,231.1044,0.792,0.1394,0.000688,1.4237372481172206,0.17453306028245666,6.297456654988722,0.26875242146634937,1.2865207731326043,5.120705461862547,29,29
57,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,0.36713289096126256,37.2206,0.0143,231.1044,0.792,0.1394,0.001375,1.4291899631247538,0.17516132869268858,6.270438728154321,0.26918516692883426,1.2843473060070394,5.117020625908795,29,29
58,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,0.5500318220946916,37.2206,0.0143,231.1044,0.792,0.1394,0.00206,1.437715610525589,0.1766105644359563,6.2999731896294575,0.2698089803718387,1.2900850121671867,5.144604680708862,29,29
59,231.1044,0.792,0.1394,0.018055555555555554,267.0057388809182,0.7342657819225251,37.2206,0.0143,231.1044,0.792,0.1394,0.00275,1.4471770674309632,0.17722500308973468,6.289367248992374,0.2687242792580069,1.2913195556112538,5.160026589624159,29,29
60,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,0.0,37.2206,0.0143,231.1044,0.792,0.152,0.0,1.3266175212392137,0.16886336405600602,6.367037601251692,0.2674503675240119,1.2471985438984292,4.892248711625907,29,29
61,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,0.1684721894736842,37.2206,0.0143,231.1044,0.792,0.152,0.000688,1.3354504397472275,0.169809778084714,6.365445155627088,0.2669311602278323,1.2486024206195536,4.907620441736705,29,29
62,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,0.33669950657894737,37.2206,0.0143,231.1044,0.792,0.152,0.001375,1.3377385172678555,0.17029867811313873,6.356181086593191,0.26966700872160815,1.25394129470109,4.931312388545545,29,29
63,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,0.5044370789473684,37.2206,0.0143,231.1044,0.792,0.152,0.00206,1.3448123865919306,0.17111829597341918,6.370143083782259,0.26881316911710407,1.2551725617224032,4.944038064675778,29,29
64,231.1044,0.792,0.152,0.018055555555555554,244.8723684210526,0.6733990131578947,37.2206,0.0143,231.1044,0.792,0.152,0.00275,1.3539691743280824,0.17173178868668929,6.374563616395418,0.2699122018182903,1.257859224925232,4.9562773852452375,29,29
65,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,0.0,37.2206,0.0143,231.1044,0.792,0.1658,0.0,1.2477658603542519,0.16498438003606858,6.421864773501631,0.2670871318594048,1.2157074291923538,4.707306264837004,29,29
66,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,0.1544497756332931,37.2206,0.0143,231.1044,0.792,0.1658,0.000688,1.2547521046760475,0.16553476187711358,6.417326905687234,0.2662127407213391,1.2141641035361348,4.705035357819562,29,29
67,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,0.30867506031363084,37.2206,0.0143,231.1044,0.792,0.1658,0.001375,1.2597600169987642,0.16602973585556743,6.423735568516842,0.26692076132211134,1.217460817972704,4.724597565177949,29,29
68,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,0.4624513630880579,37.2206,0.0143,231.1044,0.792,0.1658,0.00206,1.2648994897374315,0.1665371587727183,6.430245854585262,0.2677703834198588,1.2207038764796931,4.744268686426591,29,29
69,231.1044,0.792,0.1658,0.018055555555555554,224.4909529553679,0.6173501206272617,37.2206,0.0143,231.1044,0.792,0.1658,0.00275,1.2691248394199262,0.16677830286731946,6.425018313172211,0.2684997326128245,1.2267631401947006,4.773786021658579,29,29
70,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,0.0,37.2206,0.0143,231.1044,0.792,0.1808,0.0,1.175715875320769,0.1612954133984451,6.4335319501157775,0.2651355230617556,1.1808223967296818,4.520064816371254,29,29
71,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,0.14163591150442478,37.2206,0.0143,231.1044,0.792,0.1808,0.000688,1.180505061661011,0.16157335278046986,6.443371898205723,0.26452642833579276,1.1823940384827196,4.529789203418848,29,29
72,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,0.2830659568584071,37.2206,0.0143,231.1044,0.792,0.1808,0.001375,1.1839237347165492,0.16207283134194145,6.443807325702456,0.2639446143166214,1.180916410205186,4.532433728826127,29,29
73,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,0.42408426991150444,37.2206,0.0143,231.1044,0.792,0.1808,0.00206,1.1883843691316047,0.1624112285796646,6.443178885636245,0.2648978949194498,1.1847038224589244,4.552339707186026,29,29
74,231.1044,0.792,0.1808,0.018055555555555554,205.86615044247787,0.5661319137168142,37.2206,0.0143,231.1044,0.792,0.1808,0.00275,1.193163961201419,0.16304956300824947,6.452421907911461,0.2645629536858519,1.18799659203172,4.569215725018084,29,29
75,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,0.0,37.2206,0.0143,231.1044,0.8637,0.1278,0.0,1.4903424074537615,0.1777265472581005,6.1421760528404485,0.2662230019405922,1.294185049483654,5.205459374919008,29,29
76,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,0.2003738090766823,37.2206,0.0143,231.1044,0.8637,0.1278,0.000688,1.4976140484403657,0.1783010988510467,6.15560501990975,0.26620075605038723,1.2967280989904828,5.2216403811425,29,29
77,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,0.40045637715179966,37.2206,0.0143,231.1044,0.8637,0.1278,0.001375,1.5073013361490204,0.17870929318885087,6.133004028612154,0.26568746634992596,1.2998393342795562,5.238921719150193,29,29
78,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,0.5999564632237872,37.2206,0.0143,231.1044,0.8637,0.1278,0.00206,1.5129368987854739,0.17972222684864067,6.153478580136067,0.26680932854678624,1.3024363083620136,5.253297217861916,29,29
