n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
68,274.831,0.8637,0.1658,0.016556674771332637,224.4909529553679,37.2206,0.0143,274.831,0.8637,0.1658,1.2863832832624305,0.17141584880906316,6.5438909465366235,0.30989760574686415,1.301939817072937,5.081549574712206,29,29
69,274.831,0.8637,0.1808,0.016556674771332637,205.86615044247787,37.2206,0.0143,274.831,0.8637,0.1808,1.2042738597349196,0.16626067903944686,6.511138972822959,0.3048376220677232,1.2567179112098403,4.848913342452759,29,29
70,274.831,0.9419,0.1278,0.015182078776940227,291.24100156494524,37.2206,0.0143,274.831,0.9419,0.1278,1.5752948772735338,0.1903019599543965,6.328492445179249,0.3128804707619123,1.4060188776570903,5.694348269609157,29,29
71,274.831,0.9419,0.1394,0.015182078776940227,267.0057388809182,37.2206,0.0143,274.831,0.9419,0.1394,1.4888832675438917,0.18381827997257777,6.454468839868985,0.3099599182141234,1.37306095769503,5.492479709629369,29,29
72,274.831,0.9419,0.152,0.015182078776940227,244.8723684210526,37.2206,0.0143,274.831,0.9419,0.152,1.3810336787111395,0.1774836245789304,6.50346676790088,0.3074395196416411,1.3354475767738834,5.279630714835442,29,29
73,274.831,0.9419,0.1658,0.015182078776940227,224.4909529553679,37.2206,0.0143,274.831,0.9419,0.1658,1.2836254898409951,0.17113109598274642,6.547864796618221,0.3046631867939451,1.2927737806151134,5.04112294024761,29,29
74,274.831,0.9419,0.1808,0.015182078776940227,205.86615044247787,37.2206,0.0143,274.831,0.9419,0.1808,1.2006568707960747,0.165787667777781,6.506995255709726,0.2989002652201316,1.2471675394274573,4.809669019846832,29,29
75,299.7053,0.666,0.1278,0.021471471471471472,291.24100156494524,37.2206,0.0143,299.7053,0.666,0.1278,1.6333484582332196,0.19979694302091594,6.5433438927476715,0.3585518792552732,1.4947695328979036,6.07231228342169,29,29
76,299.7053,0.666,0.1394,0.021471471471471472,267.0057388809182,37.2206,0.0143,299.7053,0.666,0.1394,1.5411833216215862,0.19334349110254842,6.620805385405722,0.35485606418792875,1.461717116639605,5.871039722663431,29,29
77,299.7053,0.666,0.152,0.021471471471471472,244.8723684210526,37.2206,0.0143,299.7053,0.666,0.152,1.428477164131804,0.18488230886279894,6.655946802655475,0.3500208685024027,1.4163067557575677,5.6195600709776,29,29
78,299.7053,0.666,0.1658,0.021471471471471472,224.4909529553679,37.2206,0.0143,299.7053,0.666,0.1658,1.3211275477783622,0.17705666694302016,6.657999243027628,0.34411404863659434,1.367784339578452,5.363820395808125,29,29
79,299.7053,0.666,0.1808,0.021471471471471472,205.86615044247787,37.2206,0.0143,299.7053,0.666,0.1808,1.2271882211603788,0.17020540267445908,6.608811362817989,0.3390338025345884,1.3234280286410853,5.130488853058553,29,29
80,299.7053,0.7263,0.1278,0.01968883381522787,291.24100156494524,37.2206,0.0143,299.7053,0.7263,0.1278,1.631558629376284,0.199181404539999,6.526206588924553,0.3516152918298031,1.486887031066649,6.038158823307821,29,29
81,299.7053,0.7263,0.1394,0.01968883381522787,267.0057388809182,37.2206,0.0143,299.7053,0.7263,0.1394,1.5323449252546104,0.19183701924444516,6.594088710810061,0.35003622498009224,1.4495323299490253,5.817376833275727,29,29
82,299.7053,0.7263,0.152,0.01968883381522787,244.8723684210526,37.2206,0.0143,299.7053,0.7263,0.152,1.4264462270625442,0.18424690068828758,6.635278179411683,0.3443369976361209,1.4096207035369641,5.592568932723632,29,29
83,299.7053,0.7263,0.1658,0.01968883381522787,224.4909529553679,37.2206,0.0143,299.7053,0.7263,0.1658,1.316454912428028,0.1761490851457175,6.633968875636259,0.3403318059586237,1.3596111752538789,5.3276157553196315,29,29
84,299.7053,0.7263,0.1808,0.01968883381522787,205.86615044247787,37.2206,0.0143,299.7053,0.7263,0.1808,1.228210401760401,0.17006514796856706,6.607879399426956,0.33406607065798904,1.3151520725298835,5.095673343326651,29,29
85,299.7053,0.792,0.1278,0.018055555555555554,291.24100156494524,37.2206,0.0143,299.7053,0.792,0.1278,1.619248475133788,0.1980593267966697,6.481955741989753,0.34733503871845794,1.4704672949687227,5.971354758273909,29,29
86,299.7053,0.792,0.1394,0.018055555555555554,267.0057388809182,37.2206,0.0143,299.7053,0.792,0.1394,1.5230325145531378,0.19077311155690432,6.568321787156559,0.34509085665955747,1.4418172584976763,5.786222292499964,29,29
87,299.7053,0.792,0.152,0.018055555555555554,244.8723684210526,37.2206,0.0143,299.7053,0.792,0.152,1.416561164100783,0.182392319779886,6.606866374241007,0.33928221662448443,1.3979866419267366,5.540617163718774,29,29
88,299.7053,0.792,0.1658,0.018055555555555554,224.4909529553679,37.2206,0.0143,299.7053,0.792,0.1658,1.3148196270420525,0.17578704394410685,6.623788703692053,0.33578308649028155,1.3501478417900419,5.286835275979724,29,29
89,299.7053,0.792,0.1808,0.018055555555555554,205.86615044247787,37.2206,0.0143,299.7053,0.792,0.1808,1.2231195234025638,0.1690883919703327,6.590435766463212,0.32890123117385395,1.3057526044915742,5.0570507208464806,29,29
90,299.7053,0.8637,0.1278,0.016556674771332637,291.24100156494524,37.2206,0.0143,299.7053,0.8637,0.1278,1.6104981411927959,0.19677457853953595,6.448782248115521,0.3424517634842964,1.4610592197958585,5.931053067102912,29,29
91,299.7053,0.8637,0.1394,0.016556674771332637,267.0057388809182,37.2206,0.0143,299.7053,0.8637,0.1394,1.5157795752581098,0.18976455469244707,6.538064758659577,0.33925562300719764,1.424436971871527,5.716773288832138,29,29
92,299.7053,0.8637,0.152,0.016556674771332637,244.8723684210526,37.2206,0.0143,299.7053,0.8637,0.152,1.4125562620795808,0.18229739018056232,6.587975980741073,0.33545658087222474,1.3900496413285808,5.507320620946932,29,29
93,299.7053,0.8637,0.1658,0.016556674771332637,224.4909529553679,37.2206,0.0143,299.7053,0.8637,0.1658,1.3091385402342357,0.17516586756725228,6.606279680528491,0.3318301966546837,1.3430219305149698,5.2567706269717425,29,29
94,299.7053,0.8637,0.1808,0.016556674771332637,205.86615044247787,37.2206,0.0143,299.7053,0.8637,0.1808,1.220330662319161,0.16880168623083594,6.585409170665687,0.3267868249781962,1.2981509572031291,5.024851085531768,29,29
95,299.7053,0.9419,0.1278,0.015182078776940227,291.24100156494524,37.2206,0.0143,299.7053,0.9419,0.1278,1.6109914779418102,0.19636462908218305,6.459796073685402,0.3394171229371321,1.4547026190527335,5.9079278172283844,29,29
96,299.7053,0.9419,0.1394,0.015182078776940227,267.0057388809182,37.2206,0.0143,299.7053,0.9419,0.1394,1.5136776688112497,0.1886615437627829,6.530630878144456,0.3347004575863167,1.4199065604943066,5.696822096044418,29,29
97,299.7053,0.9419,0.152,0.015182078776940227,244.8723684210526,37.2206,0.0143,299.7053,0.9419,0.152,1.409171437437898,0.18154378273993496,6.583916790893771,0.33205169570385223,1.381338109738521,5.470936185279947,29,29
98,299.7053,0.9419,0.1658,0.015182078776940227,224.4909529553679,37.2206,0.0143,299.7053,0.9419,0.1658,1.300302665176496,0.17428869976240846,6.59511275805985,0.325888171350358,1.3336739487472637,5.217154777369154,29,29
99,299.7053,0.9419,0.1808,0.015182078776940227,205.86615044247787,37.2206,0.0143,299.7053,0.9419,0.1808,1.2212542793080279,0.16873620179085624,6.57752060766188,0.3237649796732557,1.2920226418101781,4.9991577661840365,29,29
100,326.831,0.666,0.1278,0.021471471471471472,291.24100156494524,37.2206,0.0143,326.831,0.666,0.1278,1.666396959209141,0.20603254671650428,6.624219640821741,0.3808776094665779,1.533254038841358,6.240135787801113,29,29
101,326.831,0.666,0.1394,0.021471471471471472,267.0057388809182,37.2206,0.0143,326.831,0.666,0.1394,1.5643282453606842,0.1983074072805933,6.692012056291964,0.3779559544604504,1.4982154323976062,6.0306093974519435,29,29
102,326.831,0.666,0.152,0.021471471471471472,244.8723684210526,37.2206,0.0143,326.831,0.666,0.152,1.4649107942259463,0.18936520475036417,6.744468459988593,0.3736831967521729,1.463278115847563,5.8206009378144765,29,29
103,326.831,0.666,0.1658,0.021471471471471472,224.4909529553679,37.2206,0.0143,326.831,0.666,0.1658,1.3401277302831571,0.1800957780913414,6.702960674599671,0.3668473382447062,1.4103345497924094,5.54550840298442,29,29
104,326.831,0.666,0.1808,0.021471471471471472,205.86615044247787,37.2206,0.0143,326.831,0.666,0.1808,1.248205286169099,0.17361702582296884,6.675568378227666,0.36093992990885515,1.3592477293891447,5.285141586919176,29,29
105,326.831,0.7263,0.1278,0.01968883381522787,291.24100156494524,37.2206,0.0143,326.831,0.7263,0.1278,1.6651981032692145,0.20527397366271918,6.62276322226024,0.37496584565193297,1.5256507699582436,6.208519812936603,29,29
106,326.831,0.7263,0.1394,0.01968883381522787,267.0057388809182,37.2206,0.0143,326.831,0.7263,0.1394,1.5543706847434822,0.19700542053666573,6.688079459618806,0.3735147309718938,1.4920190363304182,6.006766620631469,29,29
107,326.831,0.7263,0.152,0.01968883381522787,244.8723684210526,37.2206,0.0143,326.831,0.7263,0.152,1.4494714589710123,0.18802859150972626,6.711579350416883,0.366541641983206,1.44815426211097,5.754969805889144,29,29
108,326.831,0.7263,0.1658,0.01968883381522787,224.4909529553679,37.2206,0.0143,326.831,0.7263,0.1658,1.3435044245107968,0.1797338645015471,6.69195991301211,0.3608767739473828,1.3973730305506071,5.490095217708652,29,29
109,326.831,0.7263,0.1808,0.01968883381522787,205.86615044247787,37.2206,0.0143,326.831,0.7263,0.1808,1.2444302621878842,0.17269163635857113,6.662944058255602,0.3556185029446905,1.3519828154531082,5.255365009340618,29,29
110,326.831,0.792,0.1278,0.018055555555555554,291.24100156494524,37.2206,0.0143,326.831,0.792,0.1278,1.6538590204222305,0.2035017809964453,6.566409876002139,0.3678665040338819,1.5154049562060854,6.166122142091869,29,29
111,326.831,0.792,0.1394,0.018055555555555554,267.0057388809182,37.2206,0.0143,326.831,0.792,0.1394,1.553574560769629,0.19561650995592628,6.656107596262093,0.366755326832125,1.4807274612609622,5.958693468525968,29,29
112,326.831,0.792,0.152,0.018055555555555554,244.8723684210526,37.2206,0.0143,326.831,0.792,0.152,1.4428381078832953,0.1878545274189641,6.713701617325003,0.3621399672301582,1.4365245377752338,5.712816382816262,29,29
113,326.831,0.792,0.1658,0.018055555555555554,224.4909529553679,37.2206,0.0143,326.831,0.792,0.1658,1.3368628352702352,0.179250559592699,6.681216053010054,0.3565629597428047,1.3916300031298607,5.462676712659575,29,29
114,326.831,0.792,0.1808,0.018055555555555554,205.86615044247787,37.2206,0.0143,326.831,0.792,0.1808,1.2413648192699083,0.17225659962437667,6.64674570794717,0.3504328644719389,1.3442193213890148,5.22294520089704,29,29
115,326.831,0.8637,0.1278,0.016556674771332637,291.24100156494524,37.2206,0.0143,326.831,0.8637,0.1278,1.6478230363599518,0.20337806227361696,6.568021856009664,0.366356426416334,1.5057136269983917,6.127443007803784,29,29
