n,k_rate,tau_motor,tau_intensity,k_motor,k_intensity,gain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
33,708.7836,0.3164,0.026,0.08059418457648546,812.4038461538462,21.1225,0.0255,708.7836,0.3164,0.026,2.027138704479401,0.24692472181974587,10.060768456644457,0.4834377935305887,2.000623634296581,7.870817400831246,29,29
34,708.7836,0.3164,0.0283,0.08059418457648546,746.3780918727915,21.1225,0.0255,708.7836,0.3164,0.0283,2.092485214289767,0.2557032953885874,10.313193516921778,0.5176660726080164,2.1968736615075275,8.610788266961784,29,29
35,708.7836,0.345,0.02,0.07391304347826087,1056.125,21.1225,0.0255,708.7836,0.345,0.02,1.8270283727836116,0.22847992597116135,9.175100027620141,0.40037649240788165,1.7441084039643961,7.082451844644282,29,29
36,708.7836,0.345,0.0218,0.07391304347826087,968.9220183486239,21.1225,0.0255,708.7836,0.345,0.0218,1.8453272510970486,0.22999913463594002,9.408667677430348,0.41522036876724666,1.7884746563652156,7.185239210196985,29,29
37,708.7836,0.345,0.0238,0.07391304347826087,887.4999999999999,21.1225,0.0255,708.7836,0.345,0.0238,1.9120146514086716,0.23376537889716223,9.657692448711925,0.4331815470692245,1.8519509008046084,7.358113963536777,29,29
38,708.7836,0.345,0.026,0.07391304347826087,812.4038461538462,21.1225,0.0255,708.7836,0.345,0.026,1.9980953127805399,0.2427055417351251,9.96930577007345,0.4591741650483091,1.944749846503114,7.66594497319573,29,29
39,708.7836,0.345,0.0283,0.07391304347826087,746.3780918727915,21.1225,0.0255,708.7836,0.345,0.0283,2.059649182572425,0.2504163308874386,10.224843659560552,0.4898235219116178,2.0863252283482057,8.17365647116947,29,29
40,708.7836,0.3762,0.02,0.06778309409888357,1056.125,21.1225,0.0255,708.7836,0.3762,0.02,1.7693566509629222,0.22400089968679035,9.0791580904136,0.37672555756850196,1.6784537038290654,6.820625741744352,29,29
41,708.7836,0.3762,0.0218,0.06778309409888357,968.9220183486239,21.1225,0.0255,708.7836,0.3762,0.0218,1.7976188345995905,0.2264236748295532,9.31228986150299,0.3919398107618185,1.7301977558988826,6.950903083485938,29,29
42,708.7836,0.3762,0.0238,0.06778309409888357,887.4999999999999,21.1225,0.0255,708.7836,0.3762,0.0238,1.880811612736017,0.23203295661181123,9.587316315448223,0.4106989816600339,1.8024691347602466,7.17206065827488,29,29
43,708.7836,0.3762,0.026,0.06778309409888357,812.4038461538462,21.1225,0.0255,708.7836,0.3762,0.026,1.9679179944365828,0.23886640196236347,9.872226084597,0.4361721362007052,1.894981232596965,7.474069534259559,29,29
44,708.7836,0.3762,0.0283,0.06778309409888357,746.3780918727915,21.1225,0.0255,708.7836,0.3762,0.0283,2.0380750381096373,0.2475608474868614,10.153184841100284,0.4655883533475561,2.0168883248168723,7.903454244877734,29,29
45,708.7836,0.4103,0.02,0.06214964660004874,1056.125,21.1225,0.0255,708.7836,0.4103,0.02,1.743190971397713,0.22206704975925667,9.019986954861778,0.35444167417635986,1.630974597660996,6.635332556664747,29,29
46,708.7836,0.4103,0.0218,0.06214964660004874,968.9220183486239,21.1225,0.0255,708.7836,0.4103,0.0218,1.7653679370200428,0.22362144749963894,9.21945340224262,0.368558838748573,1.677725990898026,6.740239663878611,29,29
47,708.7836,0.4103,0.0238,0.06214964660004874,887.4999999999999,21.1225,0.0255,708.7836,0.4103,0.0238,1.8398442627469411,0.22729339215410124,9.49071026110462,0.3872223249386172,1.7505116181658718,6.959850462253306,29,29
48,708.7836,0.4103,0.026,0.06214964660004874,812.4038461538462,21.1225,0.0255,708.7836,0.4103,0.026,1.9446403191642594,0.23678997443073774,9.777762796790233,0.4136727184682533,1.8536250316957887,7.3079300534125124,29,29
49,708.7836,0.4103,0.0283,0.06214964660004874,746.3780918727915,21.1225,0.0255,708.7836,0.4103,0.0283,2.0165229815779715,0.2445433454861038,10.06986136802853,0.44252315907190526,1.9521287774175733,7.659467774734507,29,29
50,772.934,0.2901,0.02,0.08790072388831437,1056.125,21.1225,0.0255,772.934,0.2901,0.02,1.9306961852053655,0.23866780964951326,9.488810558453036,0.46968733294222964,1.8945165909657518,7.68566720714281,29,29
51,772.934,0.2901,0.0218,0.08790072388831437,968.9220183486239,21.1225,0.0255,772.934,0.2901,0.0218,1.9424341179859375,0.2394975675753391,9.731641415653938,0.48532011486808624,1.9237921683975083,7.721179710259228,29,29
52,772.934,0.2901,0.0238,0.08790072388831437,887.4999999999999,21.1225,0.0255,772.934,0.2901,0.0238,1.9966110182465608,0.24322310151290305,9.97518816996918,0.5015295723021693,1.9722709502333584,7.82041770774818,29,29
