n,tau,tau_motor,k_rate,k_motor,gain_rate_grid,tau_grid,gain_motor_grid,tau_motor_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
82,0.08,0.112,8838.8375,0.40178571428571425,707.107,0.08,0.045,0.112,4.354731429402122,0.48256516153100426,13.34405809462015,0.8771148852085757,0.5028675748270796,0.5680147680533572,29,29
83,0.08,0.158,8838.8375,0.28481012658227844,707.107,0.08,0.045,0.158,4.643692523145374,0.5159310690611018,14.41924473423444,0.9269543498541458,0.5274258760490879,0.5680147680533572,29,29
84,0.08,0.224,8838.8375,0.20089285714285712,707.107,0.08,0.045,0.224,5.032376052463034,0.5650516483266175,15.874569005145192,0.9995661998378631,0.5325323665387399,0.5680147680533572,29,29
85,0.08,0.056,8838.8375,1.1428571428571428,707.107,0.08,0.064,0.056,4.450512860726263,0.49219128487714603,12.719613958220863,0.8761470180234371,0.5323274081040424,0.5680147680533572,29,29
86,0.08,0.079,8838.8375,0.810126582278481,707.107,0.08,0.064,0.079,4.503153189873196,0.500991470120864,13.23945982315547,0.8958576445679024,0.5325710425938277,0.5680147680533572,29,29
87,0.08,0.112,8838.8375,0.5714285714285714,707.107,0.08,0.064,0.112,4.700478033898517,0.5225540180070031,13.997401365640359,0.924587132207502,0.5326917279199974,0.5680147680533572,29,29
88,0.08,0.158,8838.8375,0.4050632911392405,707.107,0.08,0.064,0.158,4.927504301840348,0.5486984771707428,15.10177936817236,0.9695705088872121,0.5325730147997437,0.5680147680533572,29,29
89,0.08,0.224,8838.8375,0.2857142857142857,707.107,0.08,0.064,0.224,5.343933523500509,0.6014680641357517,16.747424537570794,1.0440665340572894,0.5323704934896256,0.5680147680533572,29,29
90,0.08,0.056,8838.8375,1.625,707.107,0.08,0.091,0.056,4.554823882049266,0.5032022045909874,12.910047879874124,0.8924736068092187,0.5327191752654777,0.5680147680533572,29,29
91,0.08,0.079,8838.8375,1.1518987341772151,707.107,0.08,0.091,0.079,4.6808424627897836,0.5202789143564054,13.680034279175096,0.9174461305585563,0.5326788672916921,0.5680147680533572,29,29
92,0.08,0.112,8838.8375,0.8125,707.107,0.08,0.091,0.112,4.904527549411712,0.5447797062390093,14.599325185075514,0.9528493063492646,0.5325928409421131,0.5680147680533572,29,29
93,0.08,0.158,8838.8375,0.5759493670886076,707.107,0.08,0.091,0.158,5.093976708955991,0.5736232062717844,15.692020090779053,1.0043329371086545,0.5324944106579619,0.5680147680533572,29,29
94,0.08,0.224,8838.8375,0.40625,707.107,0.08,0.091,0.224,5.553506342535463,0.6303390552133425,17.418204502971506,1.084421834052054,0.532209542202194,0.5680147680533572,29,29
95,0.08,0.056,8838.8375,2.2857142857142856,707.107,0.08,0.128,0.056,4.586082267024593,0.5132102467152031,13.235888501070697,0.9066529496369025,0.5327102264025725,0.5680147680533572,29,29
96,0.08,0.079,8838.8375,1.620253164556962,707.107,0.08,0.128,0.079,4.800066854662324,0.5330606772980112,14.106240665210532,0.9369261891267973,0.5326055123526916,0.5680147680533572,29,29
97,0.08,0.112,8838.8375,1.1428571428571428,707.107,0.08,0.128,0.112,4.992182436156725,0.5574655731307727,14.975892457551732,0.9779823680843085,0.5325686290907208,0.5680147680533572,29,29
98,0.08,0.158,8838.8375,0.810126582278481,707.107,0.08,0.128,0.158,5.311564298578941,0.5990387505102076,16.23399898363445,1.0350291113328465,0.5323580638129917,0.5680147680533572,29,29
99,0.08,0.224,8838.8375,0.5714285714285714,707.107,0.08,0.128,0.224,5.737978928235021,0.656232970626972,18.048092798235032,1.1188494690807531,0.5321063297170978,0.5680147680533572,29,29
100,0.16,0.056,4419.41875,0.5714285714285714,707.107,0.16,0.032,0.056,3.078579664288279,0.34540171855693674,10.072172996342013,0.6500916500554751,0.39827281588313374,0.5680147680533576,29,29
101,0.16,0.079,4419.41875,0.4050632911392405,707.107,0.16,0.032,0.079,3.1746615261422364,0.35433582661757984,10.399698322519017,0.6664486687809812,0.4025388268833289,0.5680147680533576,29,29
102,0.16,0.112,4419.41875,0.2857142857142857,707.107,0.16,0.032,0.112,3.333017769360397,0.36804297450327156,10.87317248537571,0.6990739508008001,0.41345012633462996,0.5680147680533576,29,29
